POSTCODE,TOWNNAME,SUBURBNAME,STREETNAME,HOUSENUMBER,CUSTOM1,SORTINFO
1022,AUCKLAND,POINT CHEVALIER,KANUKA,30, STREET,20500431
1022,AUCKLAND,POINT CHEVALIER,KANUKA,32, STREET,20500432
1022,AUCKLAND,POINT CHEVALIER,KANUKA,29, STREET,20500433
1022,AUCKLAND,POINT CHEVALIER,KANUKA,27, STREET,20500434
1022,AUCKLAND,POINT CHEVALIER,KANUKA,25, STREET,20500435
1022,AUCKLAND,POINT CHEVALIER,KANUKA,25A, STREET,20500436
1022,AUCKLAND,POINT CHEVALIER,KANUKA,23, STREET,20500437
1022,AUCKLAND,POINT CHEVALIER,PREMIER,89A, AVENUE,20500438
1022,AUCKLAND,POINT CHEVALIER,PREMIER,89, AVENUE,20500439
1022,AUCKLAND,POINT CHEVALIER,PREMIER,87B, AVENUE,20500440
1022,AUCKLAND,POINT CHEVALIER,PREMIER,87A, AVENUE,20500441
1022,AUCKLAND,POINT CHEVALIER,PREMIER,87, AVENUE,20500442
1022,AUCKLAND,POINT CHEVALIER,PREMIER,85, AVENUE,20500443
1022,AUCKLAND,POINT CHEVALIER,PREMIER,83, AVENUE,20500444
1022,AUCKLAND,POINT CHEVALIER,PREMIER,81, AVENUE,20500445
1022,AUCKLAND,POINT CHEVALIER,PREMIER,79, AVENUE,20500446
1022,AUCKLAND,POINT CHEVALIER,PREMIER,77, AVENUE,20500447
1022,AUCKLAND,POINT CHEVALIER,PREMIER,75, AVENUE,20500448
1022,AUCKLAND,POINT CHEVALIER,PREMIER,73, AVENUE,20500449
1022,AUCKLAND,POINT CHEVALIER,PREMIER,71, AVENUE,20500450
1022,AUCKLAND,POINT CHEVALIER,PREMIER,69, AVENUE,20500451
1022,AUCKLAND,POINT CHEVALIER,PREMIER,67, AVENUE,20500452
1022,AUCKLAND,POINT CHEVALIER,PREMIER,67A, AVENUE,20500453
1022,AUCKLAND,POINT CHEVALIER,PREMIER,65, AVENUE,20500454
1022,AUCKLAND,POINT CHEVALIER,PREMIER,63, AVENUE,20500456
1022,AUCKLAND,POINT CHEVALIER,PREMIER,61A, AVENUE,20500457
1022,AUCKLAND,POINT CHEVALIER,PREMIER,61, AVENUE,20500458
1022,AUCKLAND,POINT CHEVALIER,PREMIER,59, AVENUE,20500459
1022,AUCKLAND,POINT CHEVALIER,PREMIER,57, AVENUE,20500460
1022,AUCKLAND,POINT CHEVALIER,PREMIER,55, AVENUE,20500461
1022,AUCKLAND,POINT CHEVALIER,PREMIER,55A, AVENUE,20500462
1022,AUCKLAND,POINT CHEVALIER,PREMIER,53, AVENUE,20500463
1022,AUCKLAND,POINT CHEVALIER,PREMIER,51, AVENUE,20500464
1022,AUCKLAND,POINT CHEVALIER,PREMIER,49, AVENUE,20500465
1022,AUCKLAND,POINT CHEVALIER,PREMIER,47A, AVENUE,20500466
1022,AUCKLAND,POINT CHEVALIER,PREMIER,47, AVENUE,20500467
1022,AUCKLAND,POINT CHEVALIER,PREMIER,45, AVENUE,20500468
1022,AUCKLAND,POINT CHEVALIER,PREMIER,43, AVENUE,20500469
1022,AUCKLAND,POINT CHEVALIER,PREMIER,39, AVENUE,20500470
1022,AUCKLAND,POINT CHEVALIER,PREMIER,37, AVENUE,20500471
1022,AUCKLAND,POINT CHEVALIER,PREMIER,37A, AVENUE,20500472
1022,AUCKLAND,POINT CHEVALIER,PREMIER,35, AVENUE,20500473
1022,AUCKLAND,POINT CHEVALIER,PREMIER,33, AVENUE,20500474
1022,AUCKLAND,POINT CHEVALIER,PREMIER,31, AVENUE,20500475
1022,AUCKLAND,POINT CHEVALIER,PREMIER,29, AVENUE,20500476
1022,AUCKLAND,POINT CHEVALIER,PREMIER,29A, AVENUE,20500477
1022,AUCKLAND,POINT CHEVALIER,PREMIER,27, AVENUE,20500478
1022,AUCKLAND,POINT CHEVALIER,PREMIER,25, AVENUE,20500479
1022,AUCKLAND,POINT CHEVALIER,PREMIER,25A, AVENUE,20500480
1022,AUCKLAND,POINT CHEVALIER,PREMIER,23, AVENUE,20500481
1022,AUCKLAND,POINT CHEVALIER,PREMIER,21, AVENUE,20500482
1022,AUCKLAND,POINT CHEVALIER,PREMIER,19, AVENUE,20500483
1022,AUCKLAND,POINT CHEVALIER,PREMIER,17, AVENUE,20500484
1022,AUCKLAND,POINT CHEVALIER,PREMIER,15, AVENUE,20500485
1022,AUCKLAND,POINT CHEVALIER,PASADENA,4, AVENUE,20500486
1022,AUCKLAND,POINT CHEVALIER,PASADENA,6, AVENUE,20500487
1022,AUCKLAND,POINT CHEVALIER,PASADENA,8, AVENUE,20500488
1022,AUCKLAND,POINT CHEVALIER,PASADENA,10, AVENUE,20500489
1022,AUCKLAND,POINT CHEVALIER,PASADENA,12, AVENUE,20500490
1022,AUCKLAND,POINT CHEVALIER,PASADENA,14, AVENUE,20500491
1022,AUCKLAND,POINT CHEVALIER,PASADENA,16, AVENUE,20500492
1022,AUCKLAND,POINT CHEVALIER,PASADENA,18, AVENUE,20500493
1022,AUCKLAND,POINT CHEVALIER,PASADENA,20, AVENUE,20500494
1022,AUCKLAND,POINT CHEVALIER,PASADENA,22, AVENUE,20500495
1022,AUCKLAND,POINT CHEVALIER,PASADENA,24, AVENUE,20500496
1022,AUCKLAND,POINT CHEVALIER,MORAY,2, PLACE,20500497
1022,AUCKLAND,POINT CHEVALIER,MORAY,5, PLACE,20500498
1022,AUCKLAND,POINT CHEVALIER,MORAY,3, PLACE,20500499
1022,AUCKLAND,POINT CHEVALIER,PASADENA,27, AVENUE,20500500
1022,AUCKLAND,POINT CHEVALIER,PASADENA,25, AVENUE,20500501
1022,AUCKLAND,POINT CHEVALIER,PASADENA,23, AVENUE,20500502
1022,AUCKLAND,POINT CHEVALIER,PASADENA,21, AVENUE,20500503
1022,AUCKLAND,POINT CHEVALIER,PASADENA,19, AVENUE,20500504
1022,AUCKLAND,POINT CHEVALIER,PASADENA,17, AVENUE,20500505
1022,AUCKLAND,POINT CHEVALIER,PASADENA,15, AVENUE,20500506
1022,AUCKLAND,POINT CHEVALIER,PASADENA,15A, AVENUE,20500507
1022,AUCKLAND,POINT CHEVALIER,MANOR,2, PLACE,20500508
1022,AUCKLAND,POINT CHEVALIER,MANOR,4, PLACE,20500509
1022,AUCKLAND,POINT CHEVALIER,MANOR,9, PLACE,20500510
1022,AUCKLAND,POINT CHEVALIER,MANOR,7, PLACE,20500511
1022,AUCKLAND,POINT CHEVALIER,MANOR,5, PLACE,20500512
1022,AUCKLAND,POINT CHEVALIER,MANOR,3, PLACE,20500513
1022,AUCKLAND,POINT CHEVALIER,MANOR,1, PLACE,20500514
1022,AUCKLAND,POINT CHEVALIER,PASADENA,13, AVENUE,20500515
1022,AUCKLAND,POINT CHEVALIER,PASADENA,13A, AVENUE,20500516
1022,AUCKLAND,POINT CHEVALIER,PASADENA,11, AVENUE,20500517
